16,0.000036,0.000009,0.000019
32,0.000043,0.000033,0.000141
48,0.000050,0.000038,0.000454
64,0.000060,0.000024,0.000972
80,0.000118,0.000039,0.001919
96,0.000150,0.000066,0.002945
112,0.000246,0.000099,0.004455
128,0.000272,0.000106,0.007454
144,0.002382,0.000157,0.009668
160,0.000539,0.000188,0.013034
176,0.000831,0.000276,0.016869
192,0.000861,0.000290,0.025425
208,0.001325,0.000431,0.028260
224,0.001392,0.000458,0.036423
240,0.001981,0.000635,0.043075
256,0.002013,0.000165,0.068333
272,0.003552,0.000262,0.064103
288,0.002913,0.000275,0.088568
304,0.003951,0.000289,0.099019
320,0.003891,0.000298,0.126069
336,0.005307,0.000407,0.131826
352,0.005209,0.000421,0.165211
368,0.006910,0.000443,0.183181
384,0.006721,0.000435,0.276929
400,0.009376,0.000630,0.227605
416,0.008527,0.000655,0.277627
432,0.011118,0.000676,0.298231
448,0.010587,0.000695,0.369627
464,0.013747,0.000885,0.366559
480,0.013072,0.000927,0.491757
496,0.016676,0.000944,0.465844
512,0.015818,0.000960,0.719207
528,0.020184,0.001283,0.594305
544,0.018945,0.001320,0.766498
560,0.023891,0.001362,0.702405
576,0.022414,0.001379,0.786146
592,0.028196,0.001701,0.773587
608,0.026391,0.001758,0.855877
624,0.032848,0.001812,0.906587
640,0.030671,0.001841,1.221320
656,0.038277,0.002268,1.063501
672,0.035657,0.002317,1.137480
688,0.044052,0.002373,1.326685
704,0.041025,0.002406,1.591129
720,0.050646,0.002893,1.560978
736,0.046927,0.002923,1.758963
752,0.057493,0.003003,2.030901
768,0.053152,0.003060,2.730403
784,0.065215,0.003696,2.434728
800,0.060130,0.003777,2.975307
816,0.073301,0.003843,3.112268
832,0.067493,0.003900,3.401691
848,0.082296,0.004573,3.855567
864,0.075710,0.004653,4.102699
880,0.091657,0.004577,2.865914
896,0.084273,0.004799,5.543921
912,0.101920,0.005138,3.193669
928,0.085077,0.005051,5.500055
944,0.098725,0.005139,3.748031
960,0.091024,0.005195,4.863472
976,0.109197,0.005966,3.866584
992,0.100614,0.006053,4.269140
1008,0.120019,0.006160,4.923934
1024,0.110469,0.006223,8.511747
