16,0.000048,0.000036
32,0.000210,0.000039
48,0.000621,0.000045
64,0.002212,0.000081
80,0.003110,0.000114
96,0.004477,0.000172
112,0.006227,0.000252
128,0.010781,0.000356
144,0.012838,0.000692
160,0.030975,0.000854
176,0.031981,0.001056
192,0.035274,0.001349
208,0.032117,0.001644
224,0.070608,0.003752
240,0.044861,0.002269
256,0.068814,0.002697
272,0.067728,0.003283
288,0.090721,0.003876
304,0.097191,0.004502
320,0.128749,0.005260
336,0.132267,0.006051
352,0.230046,0.006982
368,0.184564,0.007976
384,0.280116,0.009046
400,0.219641,0.010223
416,0.265686,0.011441
432,0.279432,0.012815
448,0.371988,0.014280
464,0.366362,0.015865
480,0.412983,0.017569
496,0.502529,0.019407
512,0.653909,0.021342
