62500, 160, 0.033686,0.002824,1
52084, 192, 0.033625,0.002857,1
44643, 224, 0.034897,0.002772,1
39063, 256, 0.033584,0.002761,1
34723, 288, 0.034837,0.002788,1
31250, 320, 0.033412,0.002912,1
28410, 352, 0.032887,0.003159,1
26042, 384, 0.034114,0.002956,1
24039, 416, 0.032883,0.003604,1
22322, 448, 0.033464,0.003159,1
20834, 480, 0.032852,0.003128,1
19532, 512, 0.035962,0.003056,1
18383, 544, 0.032777,0.003439,1
17362, 576, 0.032524,0.003364,1
16448, 608, 0.034118,0.003318,1
15625, 640, 0.033119,0.003111,1
14881, 672, 0.033305,0.003049,1
14205, 704, 0.033105,0.004458,1
13587, 736, 0.032636,0.004366,1
13021, 768, 0.036227,0.004066,1
12500, 800, 0.032020,0.003785,1
12020, 832, 0.034115,0.003753,1
11575, 864, 0.031927,0.004000,1
11161, 896, 0.033959,0.003648,1
10776, 928, 0.034088,0.003484,1
10417, 960, 0.031881,0.003338,1
10081, 992, 0.033923,0.003774,1
9766, 1024, 0.033942,0.003355,1
