31250, 32, 0.006755,0.001033,1
15625, 64, 0.006652,0.000669,1
10417, 96, 0.004476,0.000558,1
7813, 128, 0.005959,0.000478,1
6250, 160, 0.006473,0.000508,1
5209, 192, 0.006137,0.000513,1
4465, 224, 0.006835,0.000493,1
3907, 256, 0.004415,0.000500,1
3473, 288, 0.004632,0.000500,1
3125, 320, 0.003536,0.000508,1
2841, 352, 0.005941,0.000539,1
2605, 384, 0.004194,0.000516,1
2404, 416, 0.005017,0.000587,1
2233, 448, 0.005094,0.000541,1
2084, 480, 0.003574,0.000585,1
1954, 512, 0.003530,0.000519,1
1839, 544, 0.005373,0.000575,1
1737, 576, 0.004720,0.000557,1
1645, 608, 0.004837,0.000550,1
1563, 640, 0.005949,0.000553,1
1489, 672, 0.005958,0.000525,1
1421, 704, 0.005387,0.000672,1
1359, 736, 0.006788,0.000662,1
1303, 768, 0.007039,0.000639,1
1250, 800, 0.005015,0.000589,1
1202, 832, 0.004960,0.000634,1
1158, 864, 0.004697,0.000645,1
1117, 896, 0.003771,0.000606,1
1078, 928, 0.004943,0.000570,1
1042, 960, 0.005399,0.000570,1
1009, 992, 0.003824,0.000593,1
977, 1024, 0.004003,0.000574,1
