num_points,num_procs,walltime
6400000,8,0.035903
4500000,1,0.174724
3700000,12,0.027867
4000000,8,0.031768
1100000,12,0.010877
8800000,12,0.037989
4900000,1,0.184128
3100000,2,0.064742
1000000,2,0.027251
1600000,12,0.013262
6500000,4,0.069761
6000000,1,0.221446
9700000,1,0.355935
3100000,12,0.015955
3900000,8,0.036634
6800000,12,0.032651
5800000,1,0.212461
6200000,8,0.039833
6000000,8,0.037706
4800000,1,0.180395
200000,1,0.013684
4900000,4,0.057471
5600000,8,0.040528
7000000,2,0.134712
900000,2,0.022724
10000000,1,0.361279
1900000,12,0.014842
2000000,1,0.081792
8700000,12,0.036891
4400000,8,0.032459
5200000,4,0.060336
5400000,12,0.03485
1800000,12,0.022229
6500000,1,0.241716
7600000,4,0.081372
4600000,4,0.055804
2100000,2,0.049315
6300000,4,0.07342
1300000,12,0.012994
4800000,8,0.03351
4300000,8,0.029243
9000000,12,0.03888
7600000,12,0.035675
3100000,4,0.036951
8500000,4,0.090665
9400000,4,0.099186
6000000,2,0.120434
5800000,4,0.070336
6600000,4,0.069455
8100000,2,0.161656
7700000,8,0.043411
7400000,2,0.145194
5500000,1,0.215821
8300000,12,0.036541
5800000,2,0.110919
900000,1,0.039595
9800000,8,0.05852
1100000,4,0.016479
6700000,8,0.04434
2500000,4,0.031037
4100000,2,0.088913
4200000,12,0.022769
2100000,8,0.017168
5400000,4,0.062775
5700000,2,0.113132
5500000,8,0.035886
9900000,1,0.358489
1800000,1,0.073893
1700000,1,0.066715
9800000,1,0.361173
7400000,4,0.076131
1700000,4,0.027834
800000,12,0.009412
6100000,4,0.064214
3400000,1,0.131598
3200000,8,0.022365
7400000,12,0.046821
900000,8,0.008027
3100000,1,0.116832
1600000,2,0.042122
3800000,1,0.141742
8300000,2,0.164313
1900000,4,0.029364
2700000,12,0.017692
4300000,12,0.023496
600000,2,0.020509
5100000,8,0.031033
4100000,12,0.036015
7500000,4,0.079053
2000000,4,0.024605
4800000,2,0.090587
400000,1,0.023544
5700000,1,0.208754
8000000,4,0.084011
4700000,8,0.038462
8900000,8,0.054032
2500000,1,0.093984
2900000,8,0.021089
8300000,1,0.306052
1400000,2,0.036135
2900000,1,0.112376
8000000,1,0.289884
3700000,2,0.076429
8600000,4,0.087339
900000,12,0.011464
2800000,2,0.064889
7200000,12,0.035262
200000,4,0.003652
9100000,4,0.091876
9100000,12,0.03729
4600000,2,0.094018
4500000,8,0.027231
1600000,1,0.062692
6300000,2,0.125363
9700000,12,0.035889
8400000,1,0.3054
3300000,12,0.025367
5700000,4,0.062163
1900000,1,0.078105
8600000,1,0.317164
5300000,1,0.195906
7200000,2,0.145412
3500000,12,0.02532
6600000,8,0.03644
1300000,4,0.022478
800000,1,0.031289
8400000,8,0.050147
3500000,8,0.030607
6300000,12,0.034613
6400000,4,0.078413
8800000,4,0.100789
7600000,8,0.046927
9100000,2,0.17812
2500000,8,0.021581
6200000,1,0.227948
9400000,2,0.182029
4800000,4,0.050943
7700000,1,0.284721
1400000,4,0.021877
1100000,1,0.04522
500000,12,0.005473
5200000,1,0.195496
3600000,2,0.074237
1500000,8,0.014519
5900000,1,0.219739
5000000,12,0.041354
5900000,12,0.042188
4400000,2,0.092597
5000000,1,0.183533
5300000,2,0.103292
2700000,8,0.023839
5700000,8,0.035324
6700000,2,0.135541
3900000,1,0.148031
8000000,12,0.05909
2900000,12,0.018558
9000000,1,0.33181
100000,4,0.001805
10000000,12,0.059433
3900000,12,0.022102
7900000,12,0.050193
200000,12,0.003259
9500000,8,0.051365
9200000,12,0.041099
8200000,1,0.29957
1300000,8,0.012728
9500000,1,0.345813
5600000,12,0.021409
4300000,2,0.083381
3700000,8,0.027581
5000000,8,0.035117
7400000,1,0.270883
8800000,2,0.169129
7300000,2,0.143676
1200000,12,0.012232
300000,2,0.010935
4100000,4,0.049681
2300000,12,0.01486
3500000,1,0.132321
8200000,12,0.036316
1300000,1,0.053282
5500000,12,0.042612
4900000,8,0.034311
2400000,1,0.090834
9600000,8,0.055696
6900000,2,0.137448
3200000,2,0.067988
7000000,4,0.079437
3400000,4,0.04192
2300000,8,0.017486
4200000,1,0.157267
400000,4,0.006833
5300000,12,0.029378
2100000,12,0.018059
1300000,2,0.033503
2600000,8,0.02017
300000,1,0.019225
3500000,2,0.072088
9100000,1,0.329591
