ncores,npoints,scalable,time
8,5300000,0,0.041841
10,8100000,0,0.043627
8,1600000,0,0.016955
8,9600000,0,0.059784
6,7500000,0,0.053767
4,9800000,0,0.098063
10,9500000,0,0.046517
6,2600000,0,0.028502
8,800000,0,0.012782
6,1800000,0,0.019551
8,9300000,0,0.053037
8,4800000,0,0.03095
8,8700000,0,0.052993
6,1500000,0,0.018067
12,4500000,0,0.027596
8,900000,0,0.010365
12,700000,0,0.010205
8,5700000,0,0.034494
1,5000000,0,0.186359
12,4700000,0,0.027555
10,3000000,0,0.024268
1,8300000,0,0.302974
12,7800000,0,0.032555
12,2700000,0,0.019694
4,6000000,0,0.06555
8,9100000,0,0.056332
8,4600000,0,0.028879
4,8400000,0,0.092157
4,900000,0,0.016054
8,6400000,0,0.037645
4,3000000,0,0.035219
8,8000000,0,0.052691
12,2500000,0,0.012259
4,8800000,0,0.086447
10,900000,0,0.008213
12,1800000,0,0.019902
1,7600000,0,0.276522
10,8600000,0,0.055006
1,2700000,0,0.10364
6,7400000,0,0.056324
1,4400000,0,0.166491
10,9900000,0,0.049679
6,1600000,0,0.019885
6,6600000,0,0.049951
6,1000000,0,0.01169
10,4800000,0,0.028637
4,3900000,0,0.047274
12,6300000,0,0.03411
2,4900000,0,0.104011
6,5100000,0,0.039845
6,4900000,0,0.039969
1,7000000,0,0.258746
2,2400000,0,0.052004
1,7400000,0,0.268722
10,9100000,0,0.04321
12,4000000,0,0.033647
6,7900000,0,0.054653
1,3800000,0,0.144068
2,1700000,0,0.037764
6,8500000,0,0.062758
6,6200000,0,0.051836
6,5700000,0,0.043245
4,2300000,0,0.035759
2,1900000,0,0.042765
8,4700000,0,0.032346
10,1500000,0,0.010312
8,6100000,0,0.039936
1,8000000,0,0.293115
1,9700000,0,0.358901
4,5500000,0,0.053296
4,7900000,0,0.082634
12,9100000,0,0.03881
6,7800000,0,0.063029
8,600000,0,0.012035
4,5000000,0,0.058204
4,8000000,0,0.083133
10,5400000,0,0.02709
6,7000000,0,0.053044
8,1700000,0,0.01612
4,7000000,0,0.073929
10,5200000,0,0.028226
4,1100000,0,0.01959
6,7100000,0,0.057803
8,3300000,0,0.028454
2,4200000,0,0.092389
4,2100000,0,0.028955
4,2500000,0,0.031586
8,700000,0,0.012208
8,4100000,0,0.027548
12,500000,0,0.008979
8,5200000,0,0.043057
1,6400000,0,0.234377
2,6600000,0,0.128211
2,6700000,0,0.130735
1,5300000,0,0.194819
6,4200000,0,0.036533
10,5300000,0,0.029537
2,8000000,0,0.171812
1,1100000,0,0.045206
8,3500000,0,0.030419
4,6400000,0,0.07612
1,6700000,0,0.251428
2,1000000,0,0.029448
4,9900000,0,0.101959
12,8600000,0,0.03397
12,6800000,0,0.04288
6,8900000,0,0.059444
12,1100000,0,0.014746
1,8900000,0,0.322315
6,9700000,0,0.064527
10,5100000,0,0.036441
10,1400000,0,0.011825
2,1800000,0,0.037573
4,9600000,0,0.095902
4,7700000,0,0.081673
6,1900000,0,0.022514
6,6400000,0,0.048656
8,1500000,0,0.015457
4,4100000,0,0.05078
1,5200000,0,0.192752
1,9400000,0,0.341368
8,8400000,0,0.051296
2,600000,0,0.025619
2,8400000,0,0.169477
6,100000,0,0.001145
10,10000000,0,0.052556
6,3300000,0,0.030393
10,3500000,0,0.021263
2,6300000,0,0.130298
10,300000,0,0.004123
10,8700000,0,0.04118
1,6200000,0,0.235736
6,8700000,0,0.063341
4,300000,0,0.005186
8,3000000,0,0.031217
1,1600000,0,0.063851
12,1000000,0,0.009692
4,1800000,0,0.030153
12,3500000,0,0.028142
8,200000,0,0.003767
12,2800000,0,0.015638
8,9400000,0,0.055848
8,6700000,0,0.050668
4,9000000,0,0.090672
2,9800000,0,0.197022
12,7300000,0,0.028041
10,5900000,0,0.027345
12,8100000,0,0.036316
1,2200000,0,0.086751
6,5200000,0,0.043364
6,9200000,0,0.06556
8,2000000,0,0.017351
6,3200000,0,0.027087
10,7500000,0,0.040255
2,7600000,0,0.145809
8,3200000,0,0.028946
10,2400000,0,0.027245
12,5400000,0,0.029504
6,5600000,0,0.043956
1,300000,0,0.013941
12,7900000,0,0.039207
12,2200000,0,0.019441
8,7600000,0,0.044491
1,8800000,0,0.317516
2,7400000,0,0.147052
2,3100000,0,0.067
2,5700000,0,0.112088
10,6900000,0,0.03804
1,4800000,0,0.183496
1,6600000,0,0.243919
2,300000,0,0.010279
2,7500000,0,0.145074
6,3900000,0,0.030945
12,9600000,0,0.043344
10,4300000,0,0.02925
10,7600000,0,0.041385
6,9500000,0,0.067071
2,7900000,0,0.157473
6,6500000,0,0.04923
10,2100000,0,0.023792
10,3200000,0,0.019892
6,500000,0,0.006302
1,2300000,0,0.089706
1,4700000,0,0.18259
1,8700000,0,0.334979
6,1400000,0,0.010762
6,7300000,0,0.056017
4,4700000,0,0.055785
4,3100000,0,0.039924
10,4600000,0,0.031001
8,4400000,0,0.035896
1,2000000,0,0.082152
8,4500000,0,0.027867
10,5700000,0,0.035324
6,8000000,0,0.063469
12,10000000,0,0.05048
1,3100000,0,0.120992
2,4400000,0,0.090794
8,10000000,0,0.064445
12,9700000,0,0.05224
4,6300000,0,0.06495
10,8400000,0,0.040123
8,7300000,0,0.043953
12,8000000,0,0.0449
4,7400000,0,0.074173
12,7700000,0,0.038093
6,5400000,0,0.042785
4,7100000,0,0.076354
1,6800000,0,0.249137
1,2900000,0,0.112389
8,300000,0,0.002756
4,1000000,0,0.017105
10,4700000,0,0.025581
12,3000000,0,0.018898
8,4000000,0,0.031864
10,5800000,0,0.0309
4,7800000,0,0.078526
1,3000000,0,0.122355
4,9200000,0,0.097576
12,4300000,0,0.027489
4,1600000,0,0.021186
8,9000000,0,0.050981
10,7700000,0,0.038613
8,3600000,0,0.022017
10,1800000,0,0.016899
12,4400000,0,0.024375
2,700000,0,0.023184
12,5900000,0,0.037
12,9500000,0,0.047761
4,5200000,0,0.055387
6,800000,0,0.01076
1,8400000,0,0.306576
10,4200000,0,0.030176
1,7200000,0,0.266496
4,2600000,0,0.036939
8,3700000,0,0.023835
1,8200000,0,0.303904
2,9200000,0,0.175544
2,2700000,0,0.05763
10,9600000,0,0.044268
10,8300000,0,0.038325
6,2500000,0,0.025777
1,4600000,0,0.169245
1,3200000,0,0.123901
1,2400000,0,0.093796
12,7500000,0,0.03725
10,2500000,0,0.019785
4,400000,0,0.006994
12,5800000,0,0.025592
1,7100000,0,0.262391
1,3600000,0,0.135253
10,6200000,0,0.039287
2,500000,0,0.017463
4,3500000,0,0.041637
10,3700000,0,0.027064
2,2800000,0,0.061387
8,7800000,0,0.049174
12,8200000,0,0.035234
2,200000,0,0.006945
8,2400000,0,0.01705
1,1300000,0,0.050924
12,9400000,0,0.04092
2,3300000,0,0.073926
10,3900000,0,0.028782
2,9400000,0,0.18098
2,9700000,0,0.187015
10,4100000,0,0.022778
2,5500000,0,0.109594
10,7400000,0,0.035066
8,5600000,0,0.040786
1,5100000,0,0.1892
8,5900000,0,0.035676
10,8900000,0,0.042123
12,1400000,0,0.019358
1,4500000,0,0.178406
8,7100000,0,0.043089
4,6900000,0,0.072205
2,8500000,0,0.169598
4,10000000,0,0.111828
8,5000000,0,0.030034
2,1100000,0,0.029979
4,4200000,0,0.051142
10,5500000,0,0.028202
4,500000,0,0.00898
6,3000000,0,0.030605
6,200000,0,0.002556
1,400000,0,0.014827
1,9200000,0,0.35204
1,6000000,0,0.219625
10,2700000,0,0.020312
1,3400000,0,0.125431
12,2000000,0,0.023477
10,700000,0,0.010844
8,5400000,0,0.032161
12,5000000,0,0.022291
8,3900000,0,0.026839
